#Key,Total,Count,Max,Min,Average
PNL_EXPLAIN|PNL|MPOR|buildMarket(),10000,1,10000,10000,10000.00
PNL_EXPLAIN|PNL|buildMarket(),0,1,0,0,0.00
PNL_EXPLAIN|PNL|buildPortfolio(),10000,5,10000,0,2000.00
PNL_EXPLAIN|Run PNL_EXPLAINAnalytic,170000,1,170000,170000,170000.00
PNL_EXPLAIN|SENSI|buildMarket(),0,1,0,0,0.00
PNL_EXPLAIN|SENSI|buildPortfolio(),0,1,0,0,0.00
PNL_EXPLAIN|buildMarket(),0,1,0,0,0.00
PNL_EXPLAIN|buildPortfolio(),0,1,0,0,0.00
PRICING|Run PRICINGAnalytic,50000,1,50000,50000,50000.00
PRICING|buildMarket(),0,1,0,0,0.00
PRICING|buildPortfolio(),0,1,0,0,0.00
